Source Group;Source;Souree A;Target group;Target;Target A;weight;p-value;error
Q1;AI;3,7;Q2;Social media;2,4;0,151;0,061;0,08
Q1;AI;3,7;Q2;A friend;3,7;-0,031;0,697;0,081
Q1;AI;3,7;Q2;A secret service;2,1;0,037;0,645;0,081
Q1;AI;3,7;Q2;A smart vehicle approaching;3;0,004;0,959;0,081
Q1;Data sharing;3,7;Q2;A friend;3,7;-0,165;0,04;0,08
Q1;AI;3,7;Q2;Marketing companies;2,6;0,024;0,767;0,081
Q1;AI;3,7;Q2;Police;2,2;0,055;0,493;0,081
Q1;Data ownership;3,1;Q2;A secret service;2,1;0,205;0,011;0,079
Q1;Chat GPT;3,9;Q2;Social media;2,4;-0,001;0,986;0,081
Q1;Chat GPT;3,9;Q2;A friend;3,7;-0,035;0,664;0,081
Q1;Chat GPT;3,9;Q2;A secret service;2,1;0,013;0,868;0,081
Q1;Chat GPT;3,9;Q2;A smart vehicle approaching;3;-0,071;0,381;0,081
Q1;Chat GPT;3,9;Q2;An app accessing my mobile videos;2,6;0,031;0,698;0,081
Q1;Chat GPT;3,9;Q2;Marketing companies;2,6;0,023;0,776;0,081
Q1;Chat GPT;3,9;Q2;Police;2,2;-0,042;0,602;0,081
Q1;Chat GPT;3,9;Q2;Smart city planners;3;0,109;0,175;0,08
Q1;Cookies;3,7;Q2;Social media;2,4;-0,017;0,833;0,081
Q1;Cookies;3,7;Q2;A friend;3,7;-0,074;0,358;0,081
Q1;Cookies;3,7;Q2;A secret service;2,1;0,021;0,798;0,081
Q1;Cookies;3,7;Q2;A smart vehicle approaching;3;0,072;0,374;0,081
Q1;Cookies;3,7;Q2;An app accessing my mobile videos;2,6;-0,015;0,855;0,081
Q1;Cookies;3,7;Q2;Marketing companies;2,6;-0,005;0,951;0,081
Q1;Cookies;3,7;Q2;Police;2,2;-0,077;0,339;0,081
Q1;Cookies;3,7;Q2;Smart city planners;3;0,06;0,457;0,081
Q1;Data ownership;3,1;Q2;Social media;2,4;0,033;0,682;0,081
Q1;Data ownership;3,1;Q2;A friend;3,7;-0,031;0,701;0,081
Q1;Data science;3;Q2;A secret service;2,1;0,178;0,026;0,08
Q1;Data ownership;3,1;Q2;A smart vehicle approaching;3;0,067;0,408;0,081
Q1;Data ownership;3,1;Q2;An app accessing my mobile videos;2,6;0,126;0,119;0,08
Q1;Data ownership;3,1;Q2;Marketing companies;2,6;0,085;0,295;0,081
Q1;Data sharing;3,7;Q2;A secret service;2,1;0,163;0,043;0,08
